Threshold,SelectiveAccuracy,CWSA,CWSA+,Coverage,ECE,AURC
0.5,1.0,1.0,1.0,1.0,0.0,0.0
0.5257894736842105,1.0,1.0,1.0,1.0,0.0,0.0
0.5515789473684211,1.0,1.0,1.0,1.0,0.0,0.0
0.5773684210526315,1.0,1.0,1.0,1.0,0.0,0.0
0.6031578947368421,1.0,1.0,1.0,1.0,0.0,0.0
0.6289473684210526,1.0,1.0,1.0,1.0,0.0,0.0
0.6547368421052632,1.0,1.0,1.0,1.0,0.0,0.0
0.6805263157894736,1.0,1.0,1.0,1.0,0.0,0.0
0.7063157894736842,1.0,1.0,1.0,1.0,0.0,0.0
0.7321052631578947,1.0,1.0,1.0,1.0,0.0,0.0
0.7578947368421052,1.0,1.0,1.0,1.0,0.0,0.0
0.7836842105263158,1.0,1.0,1.0,1.0,0.0,0.0
0.8094736842105263,1.0,1.0,1.0,1.0,0.0,0.0
0.8352631578947368,1.0,1.0,1.0,1.0,0.0,0.0
0.8610526315789473,1.0,1.0,1.0,1.0,0.0,0.0
0.8868421052631579,1.0,1.0,1.0,1.0,0.0,0.0
0.9126315789473685,1.0,1.0,1.0,1.0,0.0,0.0
0.9384210526315789,1.0,1.0,1.0,1.0,0.0,0.0
0.9642105263157894,1.0,1.0,1.0,1.0,0.0,0.0
0.99,1.0,1.0,1.0,1.0,0.0,0.0
